school_name,school_abrv,school_nickname,street_address,city,state,zip_code,ncaa_member_since,hbcu_status,public_private_status,head_coach,division,conference
Abilene Christian University,ACU,Wildcats/ ACU Wildcats,1600 Campus Ct.,Abilene,TX,79699,9/1/1981,No,Private,Rick McCarty,I,Western Athletic Conference
Adelphi University,AU,Panthers,1 South Ave,Garden City,NY,11530,9/1/1951,No,Private,Bill Ianniciello,II,Northeast-10 Conference
Adrian College,AC,Bulldogs,110 S. Madison St.,Adrian,MI,49221,9/1/1963,No,Private,Craig Rainey,III,Michigan Intercol. Ath. Assn.
University of Akron,UA,Zips,302 Buchtel Common,Akron,OH,44325,9/1/1951,No,Public,Vacant,I,Mid-American Conference
Alabama A&M University,AAMU,Bulldogs,4900 Meridian St,Normal,AL,35762,9/1/1951,Yes,Public,Elliott Jones,I,Southwestern Athletic Conf.
Alabama State University,ASU,Hornets,915 S. Jackson St.,P. O. Box 271,Montgomery,AL,9/1/1977,Yes,Public,Jose Vazquez,I,Southwestern Athletic Conf.
University of Alabama,UA,Crimson Tide,739 University Blvd,Tuscaloosa,AL,35487,9/1/1936,No,Public,Rob Vaughn,I,Southeastern Conference
University of Alabama at Birmingham,UAB,Blazers,1720 University Blvd,Birmingham,AL,35294,9/1/1979,No,Public,Casey Dunn,I,Conference USA
University of Alabama in Huntsville,UAH,Chargers,301 Sparkman Drive,Huntsville,AL,35899,9/1/1986,No,Public,Hunter Royer,II,Gulf South Conference
Albany State University,Georgia,Golden Rams,504 College Drive,Albany,GA,31705,9/1/1968,Yes,Public,Brandon Hemmings,II,Southern Intercol. Ath. Conf.
University at Albany,UA,Great Danes,1400 Washington Ave,Albany,NY,12222,9/1/1962,No,Public,Jon Mueller,I,America East Conference
Albright College,ALB,Lions,1621 N. 13th Street,Reading,PA,19612-5234,9/1/1952,No,Private,Justin Perry,III,Middle Atlantic Conference Commonwealth
Alcorn State University,ASU,Braves,1000 Asu Dr,Lorman,MS,39096,9/1/1965,Yes,Public,REGINALD WILLIAMS,I,Southwestern Athletic Conf.
DeSales University,DSU,Bulldogs,2755 Station Avenue,Center Valley,PA,18034-9568,9/1/1972,No,Private,Tim Neiman,III,Middle Atlantic Conference Freedom
American International College,AIC,Yellow Jackets,1000 State Street - Box 4B,Springfield,MA,1109,9/1/1938,No,Private,Nick Callini,II,Northeast-10 Conference
Amherst College,AMH,Mammoths,220 S Pleasant St,Amherst,MA,1002,9/1/1906,No,Private,J.P. Pyne,III,New England Small College Athletic Conference
Angelo State University,ASU,"Rams, Rambelles",2601 W. Ave N,San Angelo,TX,76909,9/1/1981,No,Public,Kevin Brooks,II,Lone Star Conference
Appalachian State University,ASU,Mountaineers,287 Rivers St.,Boone,NC,28608,9/1/1971,No,Public,Kermit Smith,I,Sun Belt Conference
Arizona State University,ASU,Sun Devils,ASU Athletics,University Drive and Mill Avenue,Tempe,AZ,9/1/1946,No,Public,Willie Bloomquist,I,Pac-12 Conference
University of Arizona,UA,Wildcats,1401 E. University,Tucson,AZ,85721,9/1/1936,No,Public,Chip Hale,I,Pac-12 Conference
Arkansas State University,ASU,Red Wolves,2105 E. Aggie Road,Jonesboro,AR,72401,9/1/1952,No,Public,Tommy Raffo,I,Sun Belt Conference
"University of Arkansas, Fayetteville",UARK,Razorbacks,1 University of Arkansas,Fayetteville,AR,72701,9/1/1939,No,Public,Dave Van Horn,I,Southeastern Conference
University of Arkansas at Little Rock,UALR,Trojans,2801 South University Avenue,Little Rock,AR,72204,9/1/1975,No,Public,Chris Curry,I,Ohio Valley Conference
Ashland University,AU,Eagles,401 College Avenue,Ashland,OH,44805,9/1/1939,No,Private,John Schaly,II,Great Midwest Athletic Conference
